"lon","lat","d18Of","month"
-37.5,-52.1052631578947,-6.64831399917603,1
-35,-52.1052631578947,-6.84519720077515,1
-90,-50.2105263157895,-7.66051816940308,1
-87.5,-50.2105263157895,-7.52473163604736,1
-85,-50.2105263157895,-7.44861555099487,1
-82.5,-50.2105263157895,-7.54544639587402,1
-80,-50.2105263157895,-7.51445817947388,1
-77.5,-50.2105263157895,-7.30603170394897,1
-75,-50.2105263157895,-7.18347358703613,1
-72.5,-50.2105263157895,-7.05803775787354,1
-70,-50.2105263157895,-6.92447137832642,1
-67.5,-50.2105263157895,-6.89504766464233,1
-65,-50.2105263157895,-6.99799299240112,1
-62.5,-50.2105263157895,-8.05639362335205,1
-60,-50.2105263157895,-8.58498001098633,1
-57.5,-50.2105263157895,-8.55276393890381,1
-55,-50.2105263157895,-8.28856754302979,1
-52.5,-50.2105263157895,-7.2385892868042,1
-50,-50.2105263157895,-6.40360975265503,1
-47.5,-50.2105263157895,-6.27549982070923,1
-45,-50.2105263157895,-6.23012924194336,1
-42.5,-50.2105263157895,-6.25954294204712,1
-40,-50.2105263157895,-6.25942373275757,1
-37.5,-50.2105263157895,-6.42494869232178,1
-35,-50.2105263157895,-6.60288429260254,1
-90,-48.3157894736842,-7.15850210189819,1
-87.5,-48.3157894736842,-7.06962585449219,1
-85,-48.3157894736842,-6.9365177154541,1
-82.5,-48.3157894736842,-6.97083806991577,1
-80,-48.3157894736842,-6.77813863754272,1
-77.5,-48.3157894736842,-6.54379224777222,1
-75,-48.3157894736842,-6.43465948104858,1
-72.5,-48.3157894736842,-6.27671813964844,1
-70,-48.3157894736842,-6.22627258300781,1
-67.5,-48.3157894736842,-6.31064653396606,1
-65,-48.3157894736842,-6.41037702560425,1
-62.5,-48.3157894736842,-7.51370620727539,1
-60,-48.3157894736842,-8.15207290649414,1
-57.5,-48.3157894736842,-8.20745468139648,1
-55,-48.3157894736842,-7.99310541152954,1
-52.5,-48.3157894736842,-6.90266466140747,1
-50,-48.3157894736842,-6.21400260925293,1
-47.5,-48.3157894736842,-5.80384826660156,1
-45,-48.3157894736842,-5.70856189727783,1
-42.5,-48.3157894736842,-5.67543411254883,1
-40,-48.3157894736842,-5.78974485397339,1
-37.5,-48.3157894736842,-5.89568614959717,1
-35,-48.3157894736842,-6.01295518875122,1
-90,-46.421052631579,-6.74065065383911,1
-87.5,-46.421052631579,-6.649817943573,1
-85,-46.421052631579,-6.47233200073242,1
-82.5,-46.421052631579,-6.3896746635437,1
-80,-46.421052631579,-6.20298147201538,1
-77.5,-46.421052631579,-6.00740194320679,1
-75,-46.421052631579,-5.86670398712158,1
-72.5,-46.421052631579,-5.75008058547974,1
-70,-46.421052631579,-5.73117733001709,1
-67.5,-46.421052631579,-5.75027179718018,1
-65,-46.421052631579,-5.88681602478027,1
-62.5,-46.421052631579,-7.17026376724243,1
-60,-46.421052631579,-7.90863466262817,1
-57.5,-46.421052631579,-8.08241844177246,1
-55,-46.421052631579,-7.7404899597168,1
-52.5,-46.421052631579,-6.97439956665039,1
-50,-46.421052631579,-5.83874797821045,1
-47.5,-46.421052631579,-5.36842727661133,1
-45,-46.421052631579,-5.21285438537598,1
-42.5,-46.421052631579,-5.16194581985474,1
-40,-46.421052631579,-5.2035083770752,1
-37.5,-46.421052631579,-5.41416311264038,1
-35,-46.421052631579,-5.56708335876465,1
-90,-44.5263157894737,-6.16571664810181,1
-87.5,-44.5263157894737,-6.09219980239868,1
-85,-44.5263157894737,-6.02308511734009,1
-82.5,-44.5263157894737,-5.79462385177612,1
-80,-44.5263157894737,-5.59879922866821,1
-77.5,-44.5263157894737,-5.54044246673584,1
-75,-44.5263157894737,-5.48212909698486,1
-72.5,-44.5263157894737,-5.37042808532715,1
-70,-44.5263157894737,-5.29126930236816,1
-67.5,-44.5263157894737,-5.21445941925049,1
-65,-44.5263157894737,-5.32561826705933,1
-62.5,-44.5263157894737,-6.59037303924561,1
-60,-44.5263157894737,-7.6902437210083,1
-57.5,-44.5263157894737,-7.85716438293457,1
-55,-44.5263157894737,-7.3980860710144,1
-52.5,-44.5263157894737,-6.77074527740479,1
-50,-44.5263157894737,-5.59319400787354,1
-47.5,-44.5263157894737,-5.11687612533569,1
-45,-44.5263157894737,-4.88222169876099,1
-42.5,-44.5263157894737,-4.83133745193481,1
